vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
多様,たよう,manifold; various,,多様[たよう],人間は実に多様だ,Humans are truly diverse.,人間[にんげん]は 実[じつ]に<b> 多様[たよう]</b>だ,多様,0
入荷,にゅうか,arrival of goods,,入荷[にゅうか],新しいゲームが入荷しました,A new game as arrived.,新[あたら]しいゲームが<b> 入荷[にゅうか]</b>しました,入荷,0
荷,に,burden; cargo; load,,荷[に],トラックから荷を降ろした,The cargo was unloaded from the truck.,トラックから<b> 荷[に]</b>を 降[お]ろした,荷,1 0
好物,こうぶつ,favorite food,,好物[こうぶつ],私は果物が好物です,Fruit is my favorite.,私[わたし]は 果物[くだもの]が<b> 好物[こうぶつ]</b>です,好物,1
物足りない,ものたりない,be unsatisfactory,,物足りない[ものたりない],ビール一杯だけじゃ物足りません,One glass of beer doesn't hit the spot.,ビール 一杯[いっぱい]だけじゃ 物[もの] 足[た]りません,物足りない,0 5
二重,ふたえ,twofold,,二重[ふたえ],彼女は二重まぶたです,She has double eyelids.,彼女[かのじょ]は<b> 二重[ふたえ]</b>まぶたです,二重,2
二重,にじゅう,two layers,,二重[にじゅう],破れないように袋を二重にしておきました,I have put it in two bags to make sure it doesn't break.,破[やぶ]れないように 袋[ふくろ]を<b>二 重[じゅう]</b>にしておきました,二重,0
重心,じゅうしん,center of gravity,,重心[じゅうしん],重心は低く構えなさい,Set your center of gravity low.,<b>重心[じゅうしん]</b>は 低[ひく]く 構[かま]えなさい,重心,0
重力,じゅうりょく,gravity,,重力[じゅうりょく],ものは重力によって下に下がる,Things fell down due to gravity.,ものは<b> 重力[じゅうりょく]</b>によって 下[した]に 下[さ]がる,重力,1
一重,ひとえ,one layer,,一重[ひとえ],彼は一重まぶただ,His eyelids are single edged.,彼[かれ]は<b> 一重[ひとえ]</b>まぶただ,一重,2
分量,ぶんりょう,quantity,,分量[ぶんりょう],砂糖の分量を間違えました,I made a mistake in the amount of sugar.,砂糖[さとう]の<b> 分量[ぶんりょう]</b>を 間違[まちが]えました,分量,3
分配,ぶんぱい,distribution; division,,分配[ぶんぱい],もうけを皆で分配した,We divided the profit among everyone.,もうけを 皆[みな]で<b> 分配[ぶんぱい]</b>した,分配,0
カルチャー,かるちゃー,culture,,カルチャー[かるちゃー],彼女はカルチャー・スクールに通っています,She attends culture school.,彼女[かのじょ]は<b>カルチャー</b>・スクールに 通[かよ]っています,カルチャー,1
手配,てはい,arrangement; preparation,,手配[てはい],飛行機のチケットを手配しました,I arranged the airplane tickets.,飛行機[ひこうき]のチケットを<b> 手配[てはい]</b>しました,手配,1
気配,けはい,indication; sign,,気配[けはい],後ろに人の気配を感じた,I sensed someone behind.,後[うし]ろに 人[ひと]の<b> 気配[けはい]</b>を 感[かん]じた,気配,1 2
配分,はいぶん,distribution; division,,配分[はいぶん],ペースの配分に失敗した,I made a mistake in setting the pace.,ペースの<b> 配分[はいぶん]</b>に 失敗[しっぱい]した,配分,0
やり取り,やりとり,banter; exchange,,やり取り[やりとり],二人のやり取りは実に面白い,The exchanges between those two are really interesting.,二人[ふたり]の<b>やり 取[と]り</b>は 実[じつ]に 面白[おもしろ]い,やり取り,
取り分け,とりわけ,above all; especially,,取り分け[とりわけ],今日は山々がとりわけ美しく見える,The mountains look especially beautiful today.,今日[きょう]は 山々[やまやま]が<b>とりわけ</b> 美[うつく]しく 見[み]える,取り分け,0
段取り,だんどり,plan; program; step,,段取り[だんどり],結婚式の段取りが決まった,The plans for the wedding have been laid out.,結婚式[けっこんしき]の<b> 段取[だんど]り</b>が 決[き]まった,段取り,0 4
持ち,もち,durability,,持ち[もち],この素材は持ちがよい,This material is long lasting.,この 素材[そざい]は<b> 持[も]ち</b>がよい,持ち,2
打つ,ぶつ,impress,,打つ[ぶつ],友達をぶったりしたらいけませんよ,You must not hit your friends.,友達[ともだち]を<b>ぶった</b>りしたらいけませんよ,打つ,1
役場,やくば,public office,,役場[やくば],彼は町の役場に勤務している,He is working at the town hall.,彼[かれ]は 町[まち]の<b> 役場[やくば]</b>に 勤務[きんむ]している,役場,3
生物,なまもの,perishables; uncooked food,,生物[なまもの],生物ですのでお早めにお召し上がりください,This item is fresh so please eat it as soon as possible.,<b>生物[なまもの]</b>ですのでお 早[はや]めにお 召し上[めしあ]がりください,生物,2
出生,しゅっしょう,birth,,出生[しゅっしょう],役所に息子の出生届を出した,We reported our son's birth to the public office.,役所[やくしょ]に 息子[むすこ]の<b> 出生[しゅっしょう]</b> 届[とどけ]を 出[だ]した,出生,0
生地,きじ,cloth; dough,,生地[きじ],母がドレス用の生地を買ってきた,My mother has bought some cloth for the dress.,母[はは]がドレス 用[よう]の<b> 生地[きじ]</b>を 買[か]ってきた,生地,1
生前,せいぜん,during one's lifetime,,生前[せいぜん],これは生前彼が使っていたものです,This is what he used during his life.,これは<b> 生前[せいぜん]</b> 彼[かれ]が 使[つか]っていたものです,生前,0
生長,せいちょう,growth,,生長[せいちょう],朝顔の生長をノートに記録しています,I am recording the growth of the morning-glory in my notebook.,朝顔[あさがお]の<b> 生長[せいちょう]</b>をノートに 記録[きろく]しています,生長,0
ハウス,ひうす,greenhouse; house,,ハウス[ひうす],このトマトはハウス栽培だ,These tomatoes are grown under glass.,このトマトは<b>ハウス</b> 栽培[さいばい]だ,ハウス,1
中性,ちゅうせい,neuter gender,,中性[ちゅうせい],この服は中性洗剤で洗ってください,Please wash these clothes with detergent.,この 服[ふく]は<b> 中性[ちゅうせい]</b> 洗剤[せんざい]で 洗[あら]ってください,中性,0
知性,ちせい,intelligence,,知性[ちせい],彼は優れた知性の持ち主だ,He is a person of great intellect.,彼[かれ]は 優[すぐ]れた<b> 知性[ちせい]</b>の 持ち主[もちぬし]だ,知性,1 2
野性,やせい,wild nature,,野性[やせい],広大な自然を前に彼は野性に戻った,"With the vastness of nature before him, he returned to the wild.",広大[こうだい]な 自然[しぜん]を 前[まえ]に 彼[かれ]は<b> 野性[やせい]</b>に 戻[もど]った,野性,0
人間性,にんげんせい,human nature; humanity,,人間性[にんげんせい],そんなことを言うと君の人間性が疑われるよ,When you say such things I doubt your humanity.,そんなことを 言[い]うと 君[きみ]の<b> 人間[にんげん] 性[せい]</b>が 疑[うたが]われるよ,人間性,0
無性に,むしょうに,extremely; very much,,無性に[むしょうに],チョコレートが無性に食べたい,I want to eat chocolate very much.,チョコレートが<b> 無性[むしょう]に</b> 食[た]べたい,無性に,0
水産,すいさん,fisheries; marine products,,水産[すいさん],その地域は水産業が盛んです,The fishing industry in that region is booming.,その 地域[ちいき]は<b> 水産[すいさん]</b> 業[ぎょう]が 盛[さか]んです,水産,0
活力,かつりょく,vital power; vitality,,活力[かつりょく],彼はいつも活力にあふれている,He is always bounding with energy.,彼[かれ]はいつも<b> 活力[かつりょく]</b>にあふれている,活力,2
活気,かっき,spirit; vigor,,活気[かっき],その商店街はいつも活気にあふれてる,That shopping street is always lively.,その 商店[しょうてん] 街[がい]はいつも<b> 活気[かっき]</b>にあふれてる,活気,0
学,がく,learning; studies,,学[がく],彼はなかなか学がある,He is quite learned.,彼[かれ]はなかなか<b> 学[がく]</b>がある,学,0 1
学界,がっかい,academic circles,,学界[がっかい],彼は学界で高く評価されている,He is highly regarded in academic circles.,彼[かれ]は<b> 学界[がっかい]</b>で 高[たか]く 評価[ひょうか]されている,学界,0
理学部,りがくぶ,science department,,理学部[りがくぶ],彼は理学部の学生だ,He is a student of the Department of Science.,彼[かれ]は<b> 理学部[りがくぶ]</b>の 学生[がくせい]だ,理学部,
育ち,そだち,breeding; raised in,,育ち[そだち],彼女は日本生まれハワイ育ちです,She was born in Japan but grew up in Hawaii.,彼女[かのじょ]は 日本[にほん] 生[う]まれハワイ<b> 育[そだ]ち</b>です,育ち,3
育む,はぐくむ,cultivate; foster,,育む[はぐくむ],二人は長い年月をかけて愛をはぐくんだ,The two of them nurtured their love over many long years.,二人[ふたり]は 長[なが]い 年月[ねんげつ]をかけて 愛[あい]を<b>はぐくんだ,育む,3
制止,せいし,check; restraint,,制止[せいし],警備員に写真撮影を制止された,We were stopped from taking photographs by the guards.,警備[けいび] 員[いん]に 写真[しゃしん] 撮影[さつえい]を<b> 制止[せいし]</b>された,制止,0
ルーム,るーむ,room,,ルーム[るーむ],今ルームサービスを頼みました,I asked for room service.,今[いま]<b>ルーム</b>サービスを 頼[たの]みました,ルーム,1
強行,きょうこう,enforcement; forcing,,強行[きょうこう],その法案は強行採決された,The bill was forced through.,その 法案[ほうあん]は<b> 強行[きょうこう]</b> 採決[さいけつ]された,強行,0
強風,きょうふう,strong wind,,強風[きょうふう],強風で木が倒れた,The tree fell because of the strong wind.,<b>強風[きょうふう]</b>で 木[き]が 倒[たお]れた,強風,0 3
手引き,てびき,guidance; guide book,,手引き[てびき],まずはご利用の手引きをご覧ください,"First of all, please watch how to use it.",まずはご 利用[りよう]の<b> 手引[てび]き</b>をご 覧[らん]ください,手引き,1 3
万引き,まんびき,shoplifting,,万引き[まんびき],友達が万引きで捕まった,My friend was caught shoplifting.,友達[ともだち]が<b> 万引[まんび]き</b>で 捕[つか]まった,万引き,0
引力,いんりょく,gravitation,,引力[いんりょく],潮の満ち干は月の引力による,The ebbing and flowing of the tide is caused by the gravity of the moon.,潮[しお]の 満[み]ち 干[ひ]は 月[つき]の<b> 引力[いんりょく]</b>による,引力,1
見習い,みならい,apprentice,,見習い[みならい],私はまだ見習いのコックです,I am still an apprentice cook.,私[わたし]はまだ<b> 見習[みなら]い</b>のコックです,見習い,0
試み,こころみ,attempt; trial,,試み[こころみ],私たちは新しい試みに挑戦しています,We are trying a new challenge.,私[わたし]たちは 新[あたら]しい<b> 試[こころ]み</b>に 挑戦[ちょうせん]しています,試み,0 4
質量,しつりょう,mass,,質量[しつりょう],この物体の質量を計算しなさい,Calculate the mass of this object.,この 物体[ぶったい]の<b> 質量[しつりょう]</b>を 計算[けいさん]しなさい,質量,2
体質,たいしつ,physical constitution,,体質[たいしつ],アレルギー体質で卵は食べられません,I can't eat eggs due to allergies.,アレルギー<b> 体質[たいしつ]</b>で 卵[たまご]は 食[た]べられません,体質,0
地質,ちしつ,geological features; nature of the soil,,地質[ちしつ],研究班が川の地質を調査している,The research group is investigating geological features of the river.,研究[けんきゅう] 班[はん]が 川[かわ]の<b> 地質[ちしつ]</b>を 調査[ちょうさ]している,地質,0
人質,ひとじち,hostage; prisoner,,人質[ひとじち],犯人が人質を解放した,The criminal released the hostage.,犯人[はんにん]が<b> 人質[ひとじち]</b>を 解放[かいほう]した,人質,0
質屋,しちや,pawnshop,,質屋[しちや],彼女は宝石類を質屋に入れました,She put some jewels in the pawnshop.,彼女[かのじょ]は 宝石[ほうせき] 類[るい]を<b> 質屋[しちや]</b>に 入[い]れました,質屋,2
出題,しゅつだい,problem setting,,出題[しゅつだい],今度のテストは教科書から出題します,The questions for the next test will be taken from the text book.,今度[こんど]のテストは 教科書[きょうかしょ]から<b> 出題[しゅつだい]</b>します,出題,0
単行本,たんこうぼん,separate volume,,単行本[たんこうぼん],私は単行本をよく読みます,I often read books.,私[わたし]は<b> 単行[たんこう] 本[ぼん]</b>をよく 読[よ]みます,単行本,0
キー,きー,key,,キー[きー],車のキーがない,I have no car keys.,車[くるま]の<b>キー</b>がない,キー,
単一,たんいつ,simple; single; sole,,単一[たんいつ],その国は単一民族で成り立っている,The country is homogeneous.,その 国[くに]は<b> 単一[たんいつ]</b> 民族[みんぞく]で 成り立[なりた]っている,単一,0
重複,ちょうふく,duplication,,重複[ちょうふく],彼の作品の内容はどれも重複しています,There is overlap in the content of his works.,彼[かれ]の 作品[さくひん]の 内容[ないよう]はどれも<b> 重複[じゅうふく]</b>しています,重複,0
複合,ふくごう,composite; compound,,複合[ふくごう],大都市には様々な複合施設があります,Large cities have many multipurpose facilities.,大都市[だいとし]には 様々[さまざま]な<b> 複合[ふくごう]</b> 施設[しせつ]があります,複合,0
雑,ざつ,miscellany,,雑[ざつ],雑な扱いは困ります,Please do not handle things roughly.,<b>雑[ざつ]</b>な 扱[あつか]いは 困[こま]ります,雑,
無難,ぶなん,faultlessness; safety,,無難[ぶなん],彼は無難な意見しか言わない,He only gives safe opinions.,彼[かれ]は<b> 無難[ぶなん]</b>な 意見[いけん]しか 言[い]わない,無難,0
難解,なんかい,difficult,,難解[なんかい],彼は難解な問題に取り組んでいます,He is working on an obscure problem.,彼[かれ]は<b> 難解[なんかい]</b>な 問題[もんだい]に 取り組[とりく]んでいます,難解,0
点火,てんか,ignition; lighting,,点火[てんか],今ロケットに点火しました,I have lit the rocket now.,今[いま]ロケットに<b> 点火[てんか]</b>しました,点火,0
難点,なんてん,difficult point; weakness,,難点[なんてん],この家は都心から遠いのが難点だ,It's a drawback that this house is so far from the city center.,この 家[いえ]は 都心[としん]から 遠[とお]いのが<b> 難点[なんてん]</b>だ,難点,3 0
数量,すうりょう,quantity; volume,,数量[すうりょう],在庫の数量を確認しましょう,Shall we check the stock levels?,在庫[ざいこ]の<b> 数量[すうりょう]</b>を 確認[かくにん]しましょう,数量,3
大多数,だいたすう,greater part; majority,,大多数[だいたすう],住民の大多数は計画に賛成だった,A large majority of residents agreed with the plan.,住民[じゅうみん]の<b> 大[だい] 多数[たすう]</b>は 計画[けいかく]に 賛成[さんせい]だった,大多数,3 4
分数,ぶんすう,fraction,,分数[ぶんすう],最近息子は分数の計算を覚えた,"Recently, my son learnt calculation of fractions.",最近[さいきん] 息子[むすこ]は<b> 分数[ぶんすう]</b>の 計算[けいさん]を 覚[おぼ]えた,分数,3
数値,すうち,numerical value,,数値[すうち],その数値をこのセルに入力して下さい,Please input the numerical value in this cell.,その<b> 数値[すうち]</b>をこのセルに 入力[にゅうりょく]して 下[くだ]さい,数値,1
半数,はんすう,half the number,,半数[はんすう],クラスの半数がインフルエンザにかかった,Half the class caught flu.,クラスの<b> 半数[はんすう]</b>がインフルエンザにかかった,半数,3
小数点,しょうすうてん,decimal point,,小数点[しょうすうてん],小数点以下は切り捨てています,It is rounded off to the decimal point.,<b>小数点[しょうすうてん]</b> 以下[いか]は 切り捨[きりす]てています,小数点,3
スクール,すくーる,school,,スクール[すくーる],彼女は週一回カルチャースクールに通っている,She attends a culture school once a week.,彼女[かのじょ]は 週[しゅう]一 回[かい]カルチャー<b>スクール</b>に 通[かよ]っている,スクール,2
回帰,かいき,recurrence; revolution,,回帰[かいき],鮭には回帰本能がある,Salmon instinctively return to their breeding ground.,鮭[さけ]には<b> 回帰[かいき]</b> 本能[ほんのう]がある,回帰,1
個,こ,individual,,個[こ],リンゴを6個買ってきてください,Please buy six apples.,リンゴを 6<b> 個[こ]</b> 買[か]ってきてください,個,
勝る,まさる,be better than; excel,,勝る[まさる],子供の誕生は何にも勝る喜びだった,The birth of my child was the happiest thing bar none.,子供[こども]の 誕生[たんじょう]は 何[なに]にも<b> 勝[まさ]る</b> 喜[よろこ]びだった,勝る,2 0
負う,おう,bear on the back; take upon yourself,,負う[おう],彼は取締役として大きな責任を負っている,He assumes a big responsibility as a director.,彼[かれ]は 取締役[とりしまりやく]として 大[おお]きな 責任[せきにん]を<b> 負[お]って</b>いる,負う,0
担う,になう,bear on one's shoulder; undertake,,担う[になう],子供たちが日本の将来を担っています,Children bear the future of Japan on their shoulders.,子供[こども]たちが 日本[にほん]の 将来[しょうらい]を<b> 担[にな]って</b>います,担う,2
不当,ふとう,unfair; unreasonable,,不当[ふとう],彼女は職場で不当な扱いを受け腹を立てた,She was furious as she was being treated unfairly at work.,彼女[かのじょ]は 職場[しょくば]で<b> 不当[ふとう]</b>な 扱[あつか]いを 受[う]け 腹[はら]を 立[た]てた,不当,0
配当,はいとう,apportionment,,配当[はいとう],株主に利益が配当された,The profit was divided among the shareholders.,株主[かぶぬし]に 利益[りえき]が<b> 配当[はいとう]</b>された,配当,0
当て,あて,aim; hopes,,当て[あて],彼女は余り当てにできない,One cannot rely on her very much.,彼女[かのじょ]は 余[あま]り<b> 当[あ]て</b>にできない,当て,0
目当て,めあて,aim; guide,,目当て[めあて],彼は賞金を目当てにコンペに参加した,He entered the competition with his eye on the prize money.,彼[かれ]は 賞金[しょうきん]を<b> 目当[めあ]て</b>にコンペに 参加[さんか]した,目当て,1
当てはまる,あてはまる,apply; fit in,,当てはまる[あてはまる],私の性格はこのタイプに当てはまる,My personality conforms to this type.,私[わたし]の 性格[せいかく]はこのタイプに<b> 当[あ]てはまる,当てはまる,
未然,みぜん,in advance,,未然[みぜん],病気を未然に防ぐのは簡単ではない,It is not easy to prevent sickness beforehand.,病気[びょうき]を<b> 未然[みぜん]</b>に 防[ふせ]ぐのは 簡単[かんたん]ではない,未然,0
合法,ごうほう,legality; legitimacy,,合法[ごうほう],彼のしたことは合法です,The thing he did is lawful.,彼[かれ]のしたことは<b> 合法[ごうほう]</b>です,合法,0
法人,ほうじん,corporation,,法人[ほうじん],当サイトは法人のお客様向けです,This site is for corporate customers.,当[とう]サイトは<b> 法人[ほうじん]</b>のお 客様[きゃくさま] 向[む]けです,法人,0
無法,むほう,lawless,,無法[むほう],あの連中は無法な振る舞いばかりするので気を付けてください,Be careful; that crowd does nothing but flout the law.,あの 連中[れんちゅう]は<b> 無法[むほう]</b>な 振る舞[ふるま]いばかりするので 気[き]を 付[つ]けてください,無法,0
テクノロジー,てくはろじー,technology,,テクノロジー[てくはろじー],この新製品には最新のテクノロジーが使われている,The latest technology is used for this new product.,この 新[しん] 製品[せいひん]には 最新[さいしん]の<b>テクノロジー</b>が 使[つか]われている,テクノロジー,3
法学,ほうがく,jurisprudence; law,,法学[ほうがく],彼は大学で法学を専攻しました,He majored in law at the university.,彼[かれ]は 大学[だいがく]で<b> 法学[ほうがく]</b>を 専攻[せんこう]しました,法学,0
不法,ふほう,unlawfulness,,不法[ふほう],彼は不法滞在でつかまった,He was caught as an illegal resident.,彼[かれ]は<b> 不法[ふほう]</b> 滞在[たいざい]でつかまった,不法,0
新規,しんき,newly,,新規[しんき],新規の口座を開きたいのですが,I want to open a new account.,<b>新規[しんき]</b>の 口座[こうざ]を 開[ひら]きたいのですが,新規,1
法規,ほうき,laws and regulations,,法規[ほうき],免許を取る際交通法規をよく理解することは大切だ,"When you get your license, it is important to have a good understanding of the traffic regulations.",免許[めんきょ]を 取[と]る 際[さい] 交通[こうつう]<b> 法規[ほうき]</b>をよく 理解[りかい]することは 大切[たいせつ]だ,法規,1
規律,きりつ,order; regulation,,規律[きりつ],彼は職場の規律を学ぶ必要がある,He needs to learn the office rules.,彼[かれ]は 職場[しょくば]の<b> 規律[きりつ]</b>を 学[まな]ぶ 必要[ひつよう]がある,規律,0
施行,しこう,enforcement; execution,,施行[しこう],新法は来年から施行されます,The new law will be enforced from next year.,新法[しんぽう]は 来年[らいねん]から<b> 施行[しこう]</b>されます,施行,0
施す,ほどこす,conduct; give alms,,施す[ほどこす],その医者は適切な治療を施した,The doctor gave me appropriate treatment.,その 医者[いしゃ]は 適切[てきせつ]な 治療[ちりょう]を<b> 施[ほどこ]し</b>た,施す,3 0
経理,けいり,accounting,,経理[けいり],支払いは経理にお願いしました,I asked accounting for payment.,支払[しはら]いは<b> 経理[けいり]</b>にお 願[ねが]いしました,経理,1
経度,けいど,longitude,,経度[けいど],日本とオーストラリアはほぼ同じ経度にある,Japan and Australia are at about the same longitude.,日本[にほん]とオーストラリアはほぼ 同[おな]じ<b> 経度[けいど]</b>にある,経度,1
都営,とえい,administered by the metropolitan government,,都営[とえい],私は都営住宅に住んでいます,I live in a Tokyo public housing complex.,私[わたし]は<b> 都営[とえい]</b> 住宅[じゅうたく]に 住[す]んでいます,都営,0
国営,こくえい,government-managed,,国営[こくえい],ここは国営の公園です,This is a park administered by the government.,ここは<b> 国営[こくえい]</b>の 公園[こうえん]です,国営,0
営む,いとなむ,manage; operate,,営む[いとなむ],彼は飲食店を営んでいる,He is managing the restaurant.,彼[かれ]は 飲食[いんしょく] 店[てん]を<b> 営[いとな]んで</b>いる,営む,3
様式,ようしき,mode; style,,様式[ようしき],私は中国の生活様式に興味があります,I am interested in the everyday life of China.,私[わたし]は 中国[ちゅうごく]の 生活[せいかつ]<b> 様式[ようしき]</b>に 興味[きょうみ]があります,様式,0
林業,りんぎょう,forestry,,林業[りんぎょう],この地方は林業が盛んです,Forestry is booming in this region.,この 地方[ちほう]は<b> 林業[りんぎょう]</b>が 盛[さか]んです,林業,1 0
重工業,じゅうこうぎょう,heavy industry,,重工業[じゅうこうぎょう],重工業はこの県の主要な産業です,Heavy industry is the main industry of this prefecture.,<b>重工業[じゅうこうぎょう]</b>はこの 県[けん]の 主要[しゅよう]な 産業[さんぎょう]です,重工業,3
ホール,ばーる,hall; hole,,ホール[ばーる],このホールは音がよく響きます,Sounds carry well in that hall.,この<b>ホール</b>は 音[おと]がよく 響[ひび]きます,ホール,1
勝利,しょうり,triumph; victory,,勝利[しょうり],チームの全員が勝利を喜んだ,All members of the team were pleased with the victory.,チームの 全員[ぜんいん]が<b> 勝利[しょうり]</b>を 喜[よろこ]んだ,勝利,1
営利,えいり,gain; profit,,営利[えいり],この情報を営利目的で使用することは禁じられています,It is prohibited to use this information for profit-making purposes.,この 情報[じょうほう]を<b> 営利[えいり]</b> 目的[もくてき]で 使用[しよう]することは 禁[きん]じられています,営利,1
不利益,ふりえき,disadvantage,,不利益[ふりえき],会社の不利益になる事はしないでください,Don't do anything injurious to the company.,会社[かいしゃ]の<b> 不利益[ふりえき]</b>になる 事[こと]はしないでください,不利益,2
回収,かいしゅう,collection; withdrawal,,回収[かいしゅう],資源の回収にご協力ください,Please cooperate in the collection of resources.,資源[しげん]の<b> 回収[かいしゅう]</b>にご 協力[きょうりょく]ください,回収,0
収まる,おさまる,be put in place; cool down,,収まる[おさまる],警官が来て騒ぎが収まった,The police came and calmed the situation down.,警官[けいかん]が 来[き]て 騒[さわ]ぎが<b> 収[おさ]まった,収まる,3
技,わざ,skill,,技[わざ],彼の柔道の技は日本一です,His judo technique is the best in Japan.,彼[かれ]の 柔道[じゅうどう]の<b> 技[わざ]</b>は 日本一[にほんいち]です,技,2
技能,ぎのう,ability; skill,,技能[ぎのう],彼は高い技能を身につけている,He is acquiring high skills.,彼[かれ]は 高[たか]い<b> 技能[ぎのう]</b>を 身[み]につけている,技能,1
芸能,げいのう,public entertainment,,芸能[げいのう],それは最新の芸能ニュースだ,This is the latest show business news.,それは 最新[さいしん]の<b> 芸能[げいのう]</b>ニュースだ,芸能,0
芸能人,げいのうじん,celebrity,,芸能人[げいのうじん],町で芸能人を見かけた,I saw a celebrity in town.,町[まち]で<b> 芸能人[げいのうじん]</b>を 見[み]かけた,芸能人,3
工芸,こうげい,technical art,,工芸[こうげい],工芸には細かい手作業が必要です,Detailed work by hand is required for crafts.,<b>工芸[こうげい]</b>には 細[こま]かい 手作業[てさぎょう]が 必要[ひつよう]です,工芸,0
文芸,ぶんげい,literary art,,文芸[ぶんげい],姉はよく文芸雑誌を読んでいます,My older sister often reads literary journals.,姉[あね]はよく<b> 文芸[ぶんげい]</b> 雑誌[ざっし]を 読[よ]んでいます,文芸,0 1
芸,げい,art; trick,,芸[げい],宴会で芸を見せなければなりません,You must show us your tricks at the party.,宴会[えんかい]で<b> 芸[げい]</b>を 見[み]せなければなりません,芸,1
人造,じんぞう,artificial; man-made,,人造[じんぞう],その美しい湖は実は人造湖だ,That beautiful lake is actually artificial.,その 美[うつく]しい 湖[みずうみ]は 実[じつ]は<b> 人造</b>湖[じんぞうこ]だ,人造,0
必読,ひつどく,essential reading,,必読[ひつどく],その本は必読です,This book is an essential read.,その 本[ほん]は<b> 必読[ひつどく]</b>です,必読,0
シート,しーと,seat; sheet,,シート[しーと],あの表計算のシートはどこにありますか,Where is that spreadsheet?,あの 表[ひょう] 計算[けいさん]の<b>シート</b>はどこにありますか,シート,1
要,かなめ,main point; pivot,,要[かなめ],彼はチームの要だ,He is a pillar of the team.,彼[かれ]はチームの<b> 要[かなめ]</b>だ,要,0
強要,きょうよう,coercion; extortion,,強要[きょうよう],上司が飲み会への参加を強要した,The boss urged us to join the party.,上司[じょうし]が 飲[の]み 会[かい]への 参加[さんか]を<b> 強要[きょうよう]</b>した,強要,0
請求,せいきゅう,demand; request,,請求[せいきゅう],身に覚えのない通話料を請求された,I was charged for calls I can't remember making.,身[み]に 覚[おぼ]えのない 通話[つうわ] 料[りょう]を<b> 請求[せいきゅう]</b>された,請求,0
生計,せいけい,livelihood; living,,生計[せいけい],彼は株で生計を立てている,He is making a living by stocks.,彼[かれ]は 株[かぶ]で<b> 生計[せいけい]</b>を 立[た]てている,生計,0
決算,けっさん,settlement of accounts,,決算[けっさん],今月は決算のため大変忙しい,I am very busy this month due to closing the financial books.,今月[こんげつ]は<b> 決算[けっさん]</b>のため 大変[たいへん] 忙[いそが]しい,決算,1
算数,さんすう,arithmetic,,算数[さんすう],小学校の頃から算数は得意でした,I was good at arithmetic from elementary school onwards.,小学校[しょうがっこう]の 頃[ころ]から<b> 算数[さんすう]</b>は 得意[とくい]でした,算数,3
交差,こうさ,crossing; intersection,,交差[こうさ],この先で広い道が交差しています,There is an intersection with a wide road ahead.,この 先[さき]で 広[ひろ]い 道[みち]が<b> 交差[こうさ]</b>しています,交差,1 0
分割,ぶんかつ,division; partition,,分割[ぶんかつ],代金は分割で支払います,I am paying the price in installments.,代金[だいきん]は<b> 分割[ぶんかつ]</b>で 支払[しはら]います,分割,0
残高,ざんだか,balance; remainder,,残高[ざんだか],ATMで預金の残高を調べた,I looked up the balance of my savings account at the ATM.,ATMで 預金[よきん]の<b> 残高[ざんだか]</b>を 調[しら]べた,残高,1 0
支える,つかえる,maintain; support,,支える[つかえる],最近胃がつかえる感じがする,"Recently, my stomach feels heavy.",最近[さいきん] 胃[い]が<b>つかえる</b> 感[かん]じがする,支える,3
支局,しきょく,branch office,,支局[しきょく],彼は支局へ異動になった,He was transferred to a branch office.,彼[かれ]は<b> 支局[しきょく]</b>へ 異動[いどう]になった,支局,2 0
前払い,まえばらい,advance payment; up front payment,,前払い[まえばらい],代金は前払いです,Payments must be made in advance.,代金[だいきん]は<b> 前払[まえばら]い</b>です,前払い,3
返済,へんさい,repayment,,返済[へんさい],借金をすべて返済しました,I repaid all the debts.,借金[しゃっきん]をすべて<b> 返済[へんさい]</b>しました,返済,0
返上,へんじょう,return,,返上[へんじょう],忙しいので休日を返上して仕事をした,It was busy so I gave up my days off and went to work.,忙[いそが]しいので 休日[きゅうじつ]を<b> 返上[へんじょう]</b>して 仕事[しごと]をした,返上,0
ヒット,ふっと,hit; popularity,,ヒット[ふっと],これは我が社のヒット商品です,This is our hot product.,これは 我[わ]が 社[しゃ]の<b>ヒット</b> 商品[しょうひん]です,ヒット,1
貸借,たいしゃく,debt and credit; loan,,貸借[たいしゃく],金銭の貸借をする際は契約書を作成するべきだ,It's necessary to make a contract when lending or borrowing money.,金銭[きんせん]の<b> 貸借[たいしゃく]</b>をする 際[さい]は 契約[けいやく] 書[しょ]を 作成[さくせい]するべきだ,貸借,1
申告,しんこく,report; statement,,申告[しんこく],その会社は破産を申告した,The company declared bankruptcy.,その 会社[かいしゃ]は 破産[はさん]を<b> 申告[しんこく]</b>した,申告,0
取り込む,とりこむ,take in,,取り込む[とりこむ],コンピュータにデータを取り込んだ,Data was imported into the computer.,コンピュータにデータを<b> 取り込[とりこ]んだ,取り込む,0 3
期末,きまつ,end of term,,期末[きまつ],もうすぐ期末のテストがある,We have end-of-term tests soon.,もうすぐ<b> 期末[きまつ]</b>のテストがある,期末,0
